home_TEAM_NAME,GAME_ID,GAME_DATE,home_MIN,home_FGM,home_FGA,home_FG_PCT,home_FG3M,home_FG3A,home_FG3_PCT,home_FTM,home_FTA,home_FT_PCT,home_OREB,home_DREB,home_REB,home_AST,home_STL,home_BLK,home_TOV,home_PF,home_PTS,home_PLUS_MINUS,away_TEAM_NAME,away_MIN,away_FGM,away_FGA,away_FG_PCT,away_FG3M,away_FG3A,away_FG3_PCT,away_FTM,away_FTA,away_FT_PCT,away_OREB,away_DREB,away_REB,away_AST,away_STL,away_BLK,away_TOV,away_PF,away_PTS,away_PLUS_MINUS,Season
Portland Trail Blazers,21000002,2010-10-26,240,43,93,0.462,10,20,0.5,10,15,0.667,18,30,48,31,11,2,15,22,106,14,Phoenix Suns,240,36,74,0.486,9,19,0.474,11,16,0.688,7,23,30,15,3,4,19,19,92,-14,2010 - 2011
Los Angeles Lakers,21000003,2010-10-26,240,40,96,0.417,9,21,0.429,23,28,0.821,14,30,44,21,11,4,12,24,112,2,Houston Rockets,240,38,91,0.418,8,20,0.4,26,28,0.929,16,37,53,25,6,7,21,25,110,-2,2010 - 2011
Boston Celtics,21000001,2010-10-26,240,32,69,0.464,8,16,0.5,16,25,0.64,8,34,42,25,6,4,20,19,88,8,Miami Heat,240,27,74,0.365,8,20,0.4,18,25,0.72,11,28,39,15,10,6,17,21,80,-8,2010 - 2011
Cleveland Cavaliers,21000004,2010-10-27,240,36,81,0.444,6,20,0.3,17,21,0.81,8,29,37,24,5,4,15,20,95,8,Boston Celtics,240,34,72,0.472,3,12,0.25,16,21,0.762,6,32,38,24,8,1,19,24,87,-8,2010 - 2011
Denver Nuggets,21000014,2010-10-27,240,35,80,0.438,6,20,0.3,34,41,0.829,12,34,46,23,9,2,16,31,110,22,Utah Jazz,240,27,70,0.386,3,13,0.231,31,43,0.721,11,33,44,21,7,4,22,30,88,-22,2010 - 2011
Minnesota Timberwolves,21000009,2010-10-27,240,43,91,0.473,8,18,0.444,22,28,0.786,11,35,46,22,5,8,13,32,116,-1,Sacramento Kings,240,39,85,0.459,4,11,0.364,35,47,0.745,14,31,45,25,8,4,13,24,117,1,2010 - 2011
Golden State Warriors,21000015,2010-10-27,240,51,92,0.554,8,20,0.4,22,26,0.846,14,31,45,25,5,7,13,30,132,4,Houston Rockets,240,41,87,0.471,4,16,0.25,42,52,0.808,15,24,39,24,9,2,9,20,128,-4,2010 - 2011
Oklahoma City Thunder,21000011,2010-10-27,240,32,78,0.41,4,18,0.222,38,47,0.809,9,35,44,17,11,10,12,15,106,11,Chicago Bulls,240,40,93,0.43,2,14,0.143,13,22,0.591,15,36,51,21,6,6,15,28,95,-11,2010 - 2011
Memphis Grizzlies,21000008,2010-10-27,240,40,86,0.465,4,9,0.444,20,25,0.8,9,30,39,13,7,4,14,26,104,-15,Atlanta Hawks,240,42,80,0.525,8,16,0.5,27,31,0.871,9,35,44,20,7,9,15,20,119,15,2010 - 2011
New Orleans Hornets,21000010,2010-10-27,240,34,79,0.43,4,17,0.235,23,29,0.793,6,38,44,23,4,0,9,26,95,4,Milwaukee Bucks,240,33,77,0.429,8,23,0.348,17,28,0.607,8,37,45,14,4,2,12,27,91,-4,2010 - 2011
Toronto Raptors,21000007,2010-10-27,240,36,94,0.383,3,10,0.3,18,24,0.75,12,33,45,20,6,5,12,20,93,-5,New York Knicks,240,38,88,0.432,7,24,0.292,15,17,0.882,13,36,49,12,4,10,16,23,98,5,2010 - 2011
Dallas Mavericks,21000012,2010-10-27,240,41,75,0.547,4,15,0.267,15,18,0.833,7,34,41,29,12,5,17,18,101,15,Charlotte Bobcats,240,29,73,0.397,5,13,0.385,23,24,0.958,8,28,36,22,8,3,21,15,86,-15,2010 - 2011
San Antonio Spurs,21000013,2010-10-27,240,42,83,0.506,9,20,0.45,29,36,0.806,9,26,35,29,15,5,14,21,122,13,Indiana Pacers,240,41,77,0.532,8,21,0.381,19,28,0.679,9,27,36,20,9,6,23,26,109,-13,2010 - 2011
Philadelphia 76ers,21000006,2010-10-27,240,36,83,0.434,7,18,0.389,8,11,0.727,10,28,38,24,10,4,19,22,87,-10,Miami Heat,240,33,69,0.478,8,16,0.5,23,31,0.742,5,32,37,15,8,6,16,18,97,10,2010 - 2011
Los Angeles Clippers,21000016,2010-10-27,240,32,79,0.405,5,18,0.278,19,30,0.633,14,27,41,19,8,8,15,20,88,-10,Portland Trail Blazers,240,36,88,0.409,8,20,0.4,18,23,0.783,21,30,51,17,9,6,14,23,98,10,2010 - 2011
New Jersey Nets,21000005,2010-10-27,240,39,80,0.488,6,14,0.429,17,24,0.708,9,35,44,17,4,4,12,23,101,3,Detroit Pistons,240,37,83,0.446,8,19,0.421,16,30,0.533,10,27,37,21,7,3,6,19,98,-3,2010 - 2011
Orlando Magic,21000017,2010-10-28,240,43,77,0.558,8,24,0.333,18,32,0.563,11,42,53,20,5,3,21,22,112,29,Washington Wizards,240,29,78,0.372,4,19,0.211,21,30,0.7,3,22,25,17,10,3,13,25,83,-29,2010 - 2011
Utah Jazz,21000018,2010-10-28,240,36,84,0.429,3,13,0.231,19,27,0.704,14,31,45,19,8,6,16,28,94,-16,Phoenix Suns,240,37,80,0.463,10,26,0.385,26,34,0.765,12,32,44,20,11,4,15,25,110,16,2010 - 2011
New Orleans Hornets,21000027,2010-10-29,240,38,77,0.494,6,17,0.353,19,24,0.792,11,24,35,23,11,8,15,22,101,6,Denver Nuggets,240,35,72,0.486,6,15,0.4,19,25,0.76,11,26,37,19,9,2,20,22,95,-6,2010 - 2011
Phoenix Suns,21000030,2010-10-29,240,44,93,0.473,9,24,0.375,9,13,0.692,12,31,43,21,4,7,10,14,106,-8,Los Angeles Lakers,240,46,95,0.484,12,27,0.444,10,12,0.833,13,33,46,21,8,3,11,14,114,8,2010 - 2011
New Jersey Nets,21000020,2010-10-29,240,32,61,0.525,6,11,0.545,36,45,0.8,5,38,43,18,2,4,27,30,106,6,Sacramento Kings,240,39,93,0.419,5,20,0.25,17,26,0.654,10,21,31,21,7,3,12,32,100,-6,2010 - 2011
Toronto Raptors,21000022,2010-10-29,240,39,82,0.476,6,20,0.3,17,18,0.944,11,35,46,24,11,5,19,19,101,20,Cleveland Cavaliers,240,32,84,0.381,9,19,0.474,8,10,0.8,9,24,33,15,9,2,19,19,81,-20,2010 - 2011
Charlotte Bobcats,21000019,2010-10-29,240,31,70,0.443,4,12,0.333,35,45,0.778,15,30,45,17,3,7,17,21,101,-3,Indiana Pacers,240,36,80,0.45,12,29,0.414,20,24,0.833,9,25,34,25,5,11,11,28,104,3,2010 - 2011
Detroit Pistons,21000024,2010-10-29,240,40,85,0.471,8,12,0.667,16,20,0.8,15,28,43,16,1,7,18,27,104,-1,Oklahoma City Thunder,240,33,85,0.388,2,15,0.133,37,44,0.841,18,29,47,16,14,4,12,20,105,1,2010 - 2011
Golden State Warriors,21000029,2010-10-29,240,43,81,0.531,14,24,0.583,9,17,0.529,9,37,46,32,8,7,18,25,109,18,Los Angeles Clippers,240,32,83,0.386,5,18,0.278,22,32,0.688,14,26,40,17,7,1,17,16,91,-18,2010 - 2011
Dallas Mavericks,21000028,2010-10-29,240,34,72,0.472,6,18,0.333,16,24,0.667,8,37,45,24,7,6,20,22,90,-1,Memphis Grizzlies,240,31,80,0.388,4,15,0.267,25,36,0.694,14,31,45,17,12,3,13,24,91,1,2010 - 2011
Miami Heat,21000025,2010-10-29,240,33,81,0.407,9,18,0.5,21,27,0.778,14,37,51,17,6,5,12,27,96,26,Orlando Magic,240,21,69,0.304,4,24,0.167,24,34,0.706,8,32,40,5,5,3,16,20,70,-26,2010 - 2011
Boston Celtics,21000023,2010-10-29,240,44,91,0.484,5,16,0.313,12,18,0.667,14,40,54,33,2,1,18,23,105,4,New York Knicks,240,37,85,0.435,9,27,0.333,18,27,0.667,9,29,38,24,8,9,10,20,101,-4,2010 - 2011
Philadelphia 76ers,21000021,2010-10-29,240,35,85,0.412,5,11,0.455,26,33,0.788,12,24,36,24,9,6,9,21,101,-3,Atlanta Hawks,240,36,70,0.514,6,17,0.353,26,31,0.839,10,36,46,24,3,8,20,26,104,3,2010 - 2011
Minnesota Timberwolves,21000026,2010-10-29,240,32,85,0.376,6,22,0.273,26,36,0.722,20,42,62,13,8,11,19,27,96,11,Milwaukee Bucks,240,31,87,0.356,3,20,0.15,20,25,0.8,9,30,39,18,4,5,14,29,85,-11,2010 - 2011
Chicago Bulls,21000035,2010-10-30,240,37,86,0.43,5,18,0.278,22,31,0.71,14,37,51,17,11,10,16,26,101,10,Detroit Pistons,240,31,82,0.378,5,18,0.278,24,35,0.686,12,32,44,14,8,7,18,25,91,-10,2010 - 2011
New York Knicks,21000033,2010-10-30,240,37,88,0.42,7,28,0.25,14,25,0.56,18,33,51,16,8,6,17,24,95,-5,Portland Trail Blazers,240,37,76,0.487,6,13,0.462,20,30,0.667,9,32,41,22,7,7,15,22,100,5,2010 - 2011
Milwaukee Bucks,21000038,2010-10-30,240,32,71,0.451,11,22,0.5,23,27,0.852,14,26,40,19,7,5,18,23,98,10,Charlotte Bobcats,240,30,64,0.469,9,19,0.474,19,23,0.826,5,23,28,13,6,5,18,28,88,-10,2010 - 2011
Memphis Grizzlies,21000036,2010-10-30,240,43,93,0.462,8,20,0.4,15,18,0.833,9,34,43,27,22,4,18,25,109,20,Minnesota Timberwolves,240,31,89,0.348,6,20,0.3,21,32,0.656,19,38,57,15,9,3,29,21,89,-20,2010 - 2011
Houston Rockets,21000037,2010-10-30,240,37,81,0.457,3,19,0.158,17,21,0.81,9,35,44,19,4,7,19,26,94,-13,Denver Nuggets,240,34,90,0.378,10,27,0.37,29,33,0.879,13,35,48,16,9,4,12,24,107,13,2010 - 2011
Cleveland Cavaliers,21000032,2010-10-30,240,39,80,0.488,6,19,0.316,20,29,0.69,10,25,35,22,8,2,13,19,104,-3,Sacramento Kings,240,40,77,0.519,9,15,0.6,18,24,0.75,11,32,43,24,7,4,15,21,107,3,2010 - 2011
San Antonio Spurs,21000039,2010-10-30,240,33,85,0.388,6,26,0.231,18,21,0.857,11,30,41,24,7,6,14,19,90,-9,New Orleans Hornets,240,39,78,0.5,7,11,0.636,14,17,0.824,3,37,40,20,7,5,16,18,99,9,2010 - 2011
Atlanta Hawks,21000031,2010-10-30,240,34,81,0.42,5,19,0.263,26,30,0.867,13,30,43,19,4,4,17,22,99,4,Washington Wizards,240,38,76,0.5,4,12,0.333,15,21,0.714,8,26,34,16,8,13,18,25,95,-4,2010 - 2011
Indiana Pacers,21000034,2010-10-30,240,37,89,0.416,7,24,0.292,18,25,0.72,16,35,51,18,10,6,18,16,99,13,Philadelphia 76ers,240,36,82,0.439,6,11,0.545,8,16,0.5,12,34,46,13,9,11,19,26,86,-13,2010 - 2011
Los Angeles Lakers,21000043,2010-10-31,240,39,88,0.443,6,19,0.316,23,30,0.767,18,38,56,25,9,5,20,18,107,24,Golden State Warriors,240,36,89,0.404,5,20,0.25,6,13,0.462,15,27,42,27,11,4,17,26,83,-24,2010 - 2011
Oklahoma City Thunder,21000042,2010-10-31,240,32,80,0.4,5,20,0.25,30,34,0.882,7,31,38,10,9,5,14,27,99,-21,Utah Jazz,240,44,83,0.53,7,11,0.636,25,30,0.833,8,34,42,32,6,3,16,25,120,21,2010 - 2011
Los Angeles Clippers,21000041,2010-10-31,240,28,82,0.341,4,21,0.19,23,31,0.742,15,33,48,17,7,3,17,23,83,-16,Dallas Mavericks,240,36,77,0.468,7,16,0.438,20,29,0.69,8,33,41,23,7,7,14,22,99,16,2010 - 2011
New Jersey Nets,21000040,2010-10-31,240,30,85,0.353,3,14,0.214,15,23,0.652,19,24,43,16,5,0,15,19,78,-23,Miami Heat,240,36,67,0.537,5,16,0.313,24,34,0.706,5,35,40,29,10,6,8,21,101,23,2010 - 2011
Chicago Bulls,21000044,2010-11-01,240,43,71,0.606,5,13,0.385,19,32,0.594,9,27,36,27,4,4,15,33,110,12,Portland Trail Blazers,240,33,80,0.413,0,14,0.0,32,41,0.78,16,19,35,15,9,2,10,27,98,-12,2010 - 2011
Sacramento Kings,21000045,2010-11-01,240,42,88,0.477,5,12,0.417,22,27,0.815,16,24,40,15,5,4,11,24,111,3,Toronto Raptors,240,39,85,0.459,9,21,0.429,21,29,0.724,17,25,42,19,3,3,15,26,108,-3,2010 - 2011
Los Angeles Clippers,21000046,2010-11-01,240,38,82,0.463,4,13,0.308,8,16,0.5,10,30,40,26,10,6,17,18,88,-9,San Antonio Spurs,240,38,79,0.481,9,21,0.429,12,15,0.8,7,32,39,28,11,3,18,21,97,9,2010 - 2011
Cleveland Cavaliers,21000047,2010-11-02,240,32,74,0.432,5,17,0.294,19,26,0.731,10,34,44,15,2,4,14,22,88,-12,Atlanta Hawks,240,37,84,0.44,5,17,0.294,21,30,0.7,14,29,43,26,7,7,7,17,100,12,2010 - 2011
Milwaukee Bucks,21000052,2010-11-02,240,27,72,0.375,3,15,0.2,19,25,0.76,11,29,40,16,4,4,17,11,76,-14,Portland Trail Blazers,240,38,80,0.475,7,24,0.292,7,9,0.778,10,29,39,21,10,8,13,24,90,14,2010 - 2011
Detroit Pistons,21000049,2010-11-02,240,35,78,0.449,2,9,0.222,14,20,0.7,11,27,38,13,2,2,17,19,86,-23,Boston Celtics,240,42,81,0.519,7,21,0.333,18,18,1.0,10,26,36,33,10,7,8,19,109,23,2010 - 2011
Washington Wizards,21000048,2010-11-02,265,37,78,0.474,6,12,0.5,36,43,0.837,9,27,36,24,15,2,23,24,116,1,Philadelphia 76ers,265,44,80,0.55,4,15,0.267,23,29,0.793,7,28,35,34,10,3,23,30,115,-1,2010 - 2011
Los Angeles Lakers,21000053,2010-11-02,240,43,84,0.512,14,23,0.609,24,30,0.8,20,39,59,22,8,4,19,23,124,19,Memphis Grizzlies,240,38,92,0.413,7,14,0.5,22,29,0.759,15,21,36,22,12,5,12,21,105,-19,2010 - 2011
Miami Heat,21000050,2010-11-02,240,46,79,0.582,12,21,0.571,25,31,0.806,8,39,47,31,9,7,16,27,129,32,Minnesota Timberwolves,240,31,84,0.369,6,18,0.333,29,38,0.763,13,27,40,14,10,2,18,23,97,-32,2010 - 2011
Sacramento Kings,21000065,2010-11-03,240,40,91,0.44,6,22,0.273,14,23,0.609,12,37,49,20,4,4,8,26,100,-12,Los Angeles Lakers,240,39,84,0.464,11,21,0.524,23,28,0.821,7,36,43,24,4,4,6,22,112,12,2010 - 2011
Boston Celtics,21000058,2010-11-03,265,37,79,0.468,4,12,0.333,27,32,0.844,10,33,43,24,9,6,16,29,105,3,Milwaukee Bucks,265,36,86,0.419,5,13,0.385,25,31,0.806,13,29,42,17,4,1,19,24,102,-3,2010 - 2011
Philadelphia 76ers,21000057,2010-11-03,240,38,81,0.469,4,12,0.333,21,25,0.84,9,45,54,21,9,8,10,18,101,26,Indiana Pacers,240,28,89,0.315,7,22,0.318,12,17,0.706,11,35,46,19,6,5,13,19,75,-26,2010 - 2011
Atlanta Hawks,21000054,2010-11-03,240,36,67,0.537,3,14,0.214,19,23,0.826,3,32,35,25,3,3,14,13,94,9,Detroit Pistons,240,36,90,0.4,3,17,0.176,10,15,0.667,17,21,38,21,7,2,8,21,85,-9,2010 - 2011
Los Angeles Clippers,21000064,2010-11-03,240,42,80,0.525,8,16,0.5,15,27,0.556,7,34,41,22,5,6,12,18,107,15,Oklahoma City Thunder,240,34,90,0.378,4,26,0.154,20,23,0.87,16,31,47,17,4,2,13,20,92,-15,2010 - 2011
Golden State Warriors,21000063,2010-11-03,240,38,92,0.413,13,30,0.433,26,34,0.765,19,29,48,26,11,8,20,23,115,6,Memphis Grizzlies,240,42,82,0.512,8,18,0.444,17,25,0.68,9,30,39,28,10,2,20,26,109,-6,2010 - 2011
Utah Jazz,21000061,2010-11-03,240,48,85,0.565,7,16,0.438,22,25,0.88,7,28,35,30,9,4,15,28,125,17,Toronto Raptors,240,36,79,0.456,3,13,0.231,33,42,0.786,10,26,36,16,9,4,16,25,108,-17,2010 - 2011
Orlando Magic,21000056,2010-11-03,240,46,92,0.5,15,31,0.484,21,32,0.656,17,39,56,27,9,15,13,26,128,42,Minnesota Timberwolves,240,28,84,0.333,6,16,0.375,24,28,0.857,13,27,40,11,6,4,20,29,86,-42,2010 - 2011
Denver Nuggets,21000060,2010-11-03,240,41,89,0.461,10,28,0.357,9,12,0.75,13,26,39,25,7,3,12,21,101,-1,Dallas Mavericks,240,39,84,0.464,7,15,0.467,17,19,0.895,12,33,45,22,6,5,14,17,102,1,2010 - 2011
Phoenix Suns,21000062,2010-11-03,240,41,92,0.446,8,21,0.381,20,23,0.87,16,24,40,20,9,7,13,25,110,-2,San Antonio Spurs,240,42,77,0.545,6,14,0.429,22,32,0.688,11,34,45,22,6,4,23,22,112,2,2010 - 2011
New Jersey Nets,21000055,2010-11-03,240,32,75,0.427,5,17,0.294,14,15,0.933,8,28,36,21,4,7,17,21,83,-2,Charlotte Bobcats,240,31,72,0.431,5,19,0.263,18,23,0.783,11,30,41,21,7,3,17,18,85,2,2010 - 2011
Houston Rockets,21000059,2010-11-03,240,39,93,0.419,8,24,0.333,13,18,0.722,11,34,45,22,4,6,12,26,99,-8,New Orleans Hornets,240,36,79,0.456,5,13,0.385,30,42,0.714,12,33,45,20,9,11,8,22,107,8,2010 - 2011
Portland Trail Blazers,21000067,2010-11-04,265,43,92,0.467,4,16,0.25,16,20,0.8,15,23,38,27,8,2,11,19,106,-1,Oklahoma City Thunder,265,40,81,0.494,3,15,0.2,24,26,0.923,15,32,47,12,3,5,17,24,107,1,2010 - 2011
Chicago Bulls,21000066,2010-11-04,240,42,81,0.519,9,19,0.474,19,27,0.704,12,30,42,27,8,6,20,21,112,-8,New York Knicks,240,40,80,0.5,16,24,0.667,24,29,0.828,10,28,38,27,12,6,17,25,120,8,2010 - 2011
New York Knicks,21000072,2010-11-05,240,44,87,0.506,12,29,0.414,12,18,0.667,13,28,41,23,11,11,19,21,112,21,Washington Wizards,240,34,75,0.453,4,16,0.25,19,22,0.864,9,28,37,13,6,2,25,18,91,-21,2010 - 2011
Minnesota Timberwolves,21000074,2010-11-05,240,42,99,0.424,8,22,0.364,11,12,0.917,16,26,42,24,8,8,11,22,103,-10,Atlanta Hawks,240,44,81,0.543,4,18,0.222,21,26,0.808,8,35,43,27,5,8,15,15,113,10,2010 - 2011
Los Angeles Lakers,21000079,2010-11-05,240,37,77,0.481,7,21,0.333,27,32,0.844,7,24,31,22,12,5,12,20,108,5,Toronto Raptors,240,41,87,0.471,5,13,0.385,16,19,0.842,19,30,49,22,9,2,21,22,103,-5,2010 - 2011
Orlando Magic,21000069,2010-11-05,240,34,71,0.479,11,28,0.393,26,32,0.813,13,37,50,16,5,3,17,11,105,15,New Jersey Nets,240,36,84,0.429,10,22,0.455,8,9,0.889,7,24,31,20,7,3,12,27,90,-15,2010 - 2011
New Orleans Hornets,21000075,2010-11-05,240,39,79,0.494,4,14,0.286,14,17,0.824,10,32,42,26,9,1,14,22,96,3,Miami Heat,240,33,78,0.423,5,21,0.238,22,24,0.917,8,28,36,19,6,5,13,17,93,-3,2010 - 2011
Golden State Warriors,21000078,2010-11-05,240,35,93,0.376,2,14,0.143,13,22,0.591,21,31,52,16,11,3,17,23,85,7,Utah Jazz,240,30,76,0.395,3,14,0.214,15,21,0.714,10,36,46,18,9,6,21,23,78,-7,2010 - 2011
Phoenix Suns,21000076,2010-11-05,290,43,101,0.426,14,35,0.4,23,32,0.719,21,34,55,23,13,2,28,29,123,5,Memphis Grizzlies,290,45,96,0.469,6,19,0.316,22,34,0.647,16,32,48,21,18,7,26,30,118,-5,2010 - 2011
Boston Celtics,21000073,2010-11-05,265,42,82,0.512,4,11,0.364,22,25,0.88,3,28,31,27,11,3,15,20,110,5,Chicago Bulls,265,42,85,0.494,4,10,0.4,17,18,0.944,7,36,43,25,7,2,20,23,105,-5,2010 - 2011
Indiana Pacers,21000068,2010-11-05,240,29,75,0.387,6,24,0.25,26,30,0.867,4,40,44,11,6,9,19,24,90,-4,Milwaukee Bucks,240,32,83,0.386,8,20,0.4,22,30,0.733,9,36,45,16,9,2,15,24,94,4,2010 - 2011
Denver Nuggets,21000077,2010-11-05,240,43,83,0.518,5,21,0.238,20,22,0.909,8,29,37,26,6,3,9,17,111,7,Los Angeles Clippers,240,43,86,0.5,2,15,0.133,16,25,0.64,11,30,41,28,6,2,12,16,104,-7,2010 - 2011
Philadelphia 76ers,21000070,2010-11-05,240,46,83,0.554,6,17,0.353,18,25,0.72,10,20,30,26,10,7,15,32,116,-7,Cleveland Cavaliers,240,41,75,0.547,3,13,0.231,38,48,0.792,13,28,41,22,6,1,17,17,123,7,2010 - 2011
Detroit Pistons,21000071,2010-11-05,240,32,75,0.427,7,13,0.538,26,27,0.963,9,22,31,14,11,3,13,13,97,7,Charlotte Bobcats,240,37,67,0.552,9,20,0.45,7,11,0.636,8,30,38,28,7,9,23,18,90,-7,2010 - 2011
Milwaukee Bucks,21000083,2010-11-06,240,32,83,0.386,4,16,0.25,13,20,0.65,11,31,42,17,8,0,12,20,81,-6,New Orleans Hornets,240,31,69,0.449,7,17,0.412,18,22,0.818,10,37,47,17,6,5,19,22,87,6,2010 - 2011
Dallas Mavericks,21000085,2010-11-06,240,34,76,0.447,4,15,0.267,20,26,0.769,11,35,46,12,7,5,21,16,92,-11,Denver Nuggets,240,37,82,0.451,13,21,0.619,16,21,0.762,9,29,38,21,16,2,12,17,103,11,2010 - 2011
Utah Jazz,21000086,2010-11-06,290,40,97,0.412,6,18,0.333,23,31,0.742,17,26,43,21,6,7,12,23,109,2,Los Angeles Clippers,290,37,86,0.43,5,20,0.25,28,32,0.875,14,37,51,16,6,9,23,31,107,-2,2010 - 2011
