,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,404,404,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801210,2019-04-09T00:00:00,MEM @ DET,L,29.486666666666668,3,8,0.375,1,2,0.5,2,2,1.0,0,2,2,3,5,0,0,1,2,3,9,1,10.9,0,0,15.0,1,13078,13078,13078,7736,12305,11313,16046,7527,12673,3790,6436,8097,1,13019,13681,16329,6208,354,12169,8286,17177,11136,4876,12338,11129,19129,2359,128,15448,1,29:29,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,29.000000:29,103.2,103.7,101.4,101.9,1.8,1.9,0.176,0.6,17.6,0.0,0.057,0.034,29.4,0.438,0.507,0.23,0.24,88.33,87.9,73.25,54,0.027,5.0
1,579,579,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801201,2019-04-07T00:00:00,MEM vs. DAL,L,29.65,3,15,0.2,2,8,0.25,2,2,1.0,1,4,5,7,1,1,1,0,2,1,10,-5,31.5,0,0,28.0,1,13078,13078,13078,7577,12305,3138,21508,3785,1278,11030,6436,8097,1,6309,6983,7497,1262,9005,4548,2599,1,11136,12643,11141,17195,5856,2359,128,6809,1,29:39,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,29.000000:39,106.6,104.8,116.8,116.4,-10.2,-11.6,0.389,7.0,29.2,0.027,0.143,0.077,4.2,0.267,0.315,0.233,0.247,99.33,100.37,83.64,63,0.066,17.0
2,958,958,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801187,2019-04-05T00:00:00,MEM @ DAL,W,19.866666666666667,4,8,0.5,3,4,0.75,0,0,0.0,0,4,4,2,1,0,0,0,3,1,11,12,17.8,0,0,20.0,1,1,1,1,16280,9407,11313,8362,1715,6843,1624,14182,15041,14182,13019,6983,9946,9102,9005,12169,8286,1,17131,12643,10094,3481,14163,2359,128,11770,1,19:52,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,19.000000:52,132.9,131.0,102.8,100.0,30.1,31.0,0.133,2.0,18.2,0.0,0.148,0.087,9.1,0.688,0.688,0.196,0.198,100.56,102.68,85.57,42,0.101,5.0
3,1268,1268,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801175,2019-04-03T00:00:00,MEM @ POR,L,25.416666666666668,6,11,0.545,3,5,0.6,1,2,0.5,0,1,1,1,1,2,1,0,1,2,16,-17,26.7,0,0,27.0,1,13078,13078,13078,11441,4937,6910,7511,1715,4781,2996,10713,8097,10961,13019,18138,20002,13432,9005,1473,2599,1,4829,7971,5582,24434,8322,2359,128,7336,1,25:25,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,25.000000:25,100.7,100.0,122.8,134.7,-22.0,-34.7,0.083,1.0,7.1,0.0,0.037,0.02,7.1,0.682,0.673,0.25,0.257,96.69,92.54,77.11,49,0.105,5.0
4,1661,1661,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801151,2019-03-31T00:00:00,MEM @ LAC,L,24.483333333333334,5,11,0.455,1,4,0.25,6,6,1.0,0,3,3,2,1,1,0,0,3,4,17,-10,25.6,0,0,25.0,1,13078,13078,13078,12296,6938,6910,12408,7527,6843,11030,1138,1976,1,13019,9906,12926,9102,9005,4548,8286,1,17131,2953,4945,21208,8972,2359,128,8444,1,24:29,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,24.000000:29,101.2,101.9,117.0,120.8,-15.8,-18.9,0.167,2.0,11.8,0.0,0.13,0.06,5.9,0.5,0.623,0.263,0.271,105.91,103.91,86.59,53,0.129,6.0
5,1889,1889,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801144,2019-03-30T00:00:00,MEM @ PHX,W,6.838333333333333,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,0,0,-11,0.2,0,0,1.0,1,1,1,1,23663,22860,20488,22860,13697,16257,13697,14182,15041,14182,13019,18138,20002,19301,9005,12169,8286,17177,1,18923,23456,21828,25189,2359,128,24783,1,6:50,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,6.000000:50,73.5,73.3,150.3,146.7,-76.7,-73.3,0.0,0.0,0.0,0.0,0.333,0.071,25.0,0.0,0.0,0.235,0.236,103.88,105.29,87.74,15,-0.113,6.0
6,2389,2389,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801118,2019-03-27T00:00:00,MEM vs. GSW,L,24.683333333333337,5,9,0.556,1,3,0.333,2,2,1.0,0,5,5,1,3,2,0,1,2,1,13,-3,23.5,0,0,24.0,1,13078,13078,13078,12117,6938,9647,7016,7527,9513,8453,6436,8097,1,13019,4837,7497,13432,1915,1473,8286,17177,11136,12643,8060,15279,10282,2359,128,9078,1,24:41,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,24.000000:41,102.2,96.4,107.1,107.7,-4.9,-11.3,0.067,0.33,7.1,0.0,0.217,0.1,21.4,0.611,0.658,0.213,0.229,101.24,104.04,86.7,55,0.121,18.0
7,2694,2694,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801104,2019-03-25T00:00:00,MEM vs. OKC,W,24.538333333333338,3,9,0.333,1,4,0.25,1,1,1.0,0,3,3,0,2,0,0,0,1,2,8,1,9.6,0,0,12.0,1,1,1,1,12245,12305,9647,17130,7527,6843,11030,10713,13450,1,13019,9906,12926,19301,4320,12169,8286,1,4829,7971,13441,11129,20023,2359,128,17675,1,24:32,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,24.000000:32,94.9,102.0,102.3,102.0,-7.4,0.0,0.0,0.0,0.0,0.0,0.13,0.056,18.2,0.389,0.424,0.177,0.178,102.34,98.78,82.32,51,0.028,18.0
8,2922,2922,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801091,2019-03-23T00:00:00,MEM vs. MIN,L,19.5,4,8,0.5,1,4,0.25,0,0,0.0,0,2,2,2,2,0,0,0,1,0,9,1,12.4,0,0,14.0,1,13078,13078,13078,16569,9407,11313,8362,7527,6843,11030,14182,15041,14182,13019,13681,16329,9102,4320,12169,8286,1,4829,18923,12338,11129,18045,2359,128,16193,1,19:30,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,19.000000:30,105.2,107.3,99.1,104.9,6.1,2.4,0.167,1.0,16.7,0.0,0.087,0.047,16.7,0.563,0.563,0.213,0.218,104.91,100.92,84.1,41,0.09,20.0
9,3072,3072,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801080,2019-03-22T00:00:00,MEM @ ORL,L,31.03,6,15,0.4,2,7,0.286,3,3,1.0,0,5,5,3,1,0,1,0,1,2,17,-14,29.5,0,0,29.0,1,13078,13078,13078,6364,4937,3138,14646,3785,2023,10658,4391,6549,1,13019,4837,7497,6208,9005,12169,2599,1,4829,7971,4945,23355,6840,2359,128,6240,1,31:02,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,31.000000:02,89.3,88.9,107.1,112.9,-17.8,-24.0,0.188,3.0,15.0,0.0,0.156,0.078,5.0,0.467,0.521,0.246,0.251,99.06,96.68,80.57,63,0.139,5.0
10,3370,3370,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801070,2019-03-20T00:00:00,MEM vs. HOU,W,25.441666666666663,4,9,0.444,3,7,0.429,0,0,0.0,0,6,6,2,2,3,0,0,1,0,11,13,28.2,0,0,28.0,1,1,1,1,11426,9407,9647,12796,1715,2023,6990,14182,15041,14182,13019,3258,5530,9102,4320,438,8286,1,4829,18923,10094,3056,7501,2359,128,6809,1,25:27,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,25.000000:27,113.9,115.1,97.6,96.0,16.3,19.1,0.143,1.0,15.4,0.0,0.25,0.125,15.4,0.611,0.611,0.172,0.182,96.94,97.16,80.97,53,0.174,18.0
11,4047,4047,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801035,2019-03-16T00:00:00,MEM @ WAS,L,22.705,6,10,0.6,2,6,0.333,2,3,0.667,1,5,6,5,0,1,0,0,5,4,16,3,33.7,0,0,31.0,1,13078,13078,13078,13896,4937,8165,5112,3785,3157,8453,6436,6549,9511,6309,4837,5530,2819,16665,4548,8286,1,24518,2953,5582,9253,4900,2359,128,5247,1,22:42,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,22.000000:42,129.0,123.5,124.1,122.4,4.9,1.1,0.294,0.0,31.3,0.04,0.278,0.14,0.0,0.7,0.707,0.196,0.204,102.74,105.7,88.09,51,0.143,7.0
12,4505,4505,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21801016,2019-03-13T00:00:00,MEM @ ATL,L,15.38,1,4,0.25,0,1,0.0,0,0,0.0,1,1,2,3,0,1,0,0,1,0,2,-7,11.9,0,0,9.0,1,13078,13078,13078,19713,19280,18618,20197,13697,16257,13697,14182,15041,14182,6309,18138,16329,6208,16665,4548,8286,1,4829,18923,21391,18945,18446,2359,128,19895,1,15:23,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,15.000000:23,97.7,100.0,115.9,114.7,-18.3,-14.7,0.273,0.0,42.9,0.059,0.063,0.061,0.0,0.25,0.25,0.118,0.118,103.62,102.99,85.83,32,0.05,9.0
13,5009,5009,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800996,2019-03-10T00:00:00,MEM vs. ORL,W,14.516666666666667,2,5,0.4,1,2,0.5,0,0,0.0,0,1,1,1,2,0,0,1,1,0,5,-10,5.7,0,0,8.0,1,1,1,1,20277,15736,16739,14646,7527,12673,3790,14182,15041,14182,13019,18138,20002,13432,4320,12169,8286,17177,4829,18923,17583,21208,22432,2359,128,20579,1,14:31,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,14.000000:31,107.1,103.6,144.0,139.3,-36.9,-35.7,0.143,0.5,12.5,0.0,0.083,0.042,25.0,0.5,0.5,0.226,0.241,89.54,92.58,77.15,28,0.014,20.0
14,5238,5238,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800982,2019-03-08T00:00:00,MEM vs. UTA,W,21.65,1,5,0.2,1,3,0.333,0,0,0.0,0,2,2,1,1,1,0,1,1,0,3,-4,8.9,0,0,9.0,1,1,1,1,14802,19280,16739,21508,7527,9513,8453,14182,15041,14182,13019,13681,16329,13432,9005,4548,8286,17177,4829,18923,20260,16234,20486,2359,128,19895,1,21:39,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,21.000000:39,92.3,95.7,103.1,104.3,-10.8,-8.5,0.053,1.0,14.3,0.0,0.083,0.041,14.3,0.3,0.3,0.109,0.112,106.73,104.2,86.84,47,0.011,19.0
15,5682,5682,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800962,2019-03-05T00:00:00,MEM vs. POR,W,7.866666666666666,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,1,0,0,3,0,0,-4,2.0,0,0,2.0,1,1,1,1,23294,22860,23689,22860,13697,16257,13697,14182,15041,14182,13019,22618,23475,19301,9005,4548,8286,1,17131,18923,23456,16234,24436,2359,128,24226,1,7:52,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,7.000000:52,84.5,88.2,107.7,105.6,-23.3,-17.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.111,0.113,108.0,106.78,88.98,17,-0.157,21.0
16,5986,5986,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800951,2019-03-03T00:00:00,MEM @ OKC,L,16.416666666666668,0,1,0.0,0,1,0.0,1,2,0.5,0,2,2,2,2,1,1,0,4,1,1,-8,10.4,0,0,9.0,1,13078,13078,13078,18970,22860,23689,22860,13697,16257,13697,10713,8097,10961,13019,13681,16329,9102,4320,4548,2599,1,21788,12643,23233,19777,19475,2359,128,19895,1,16:25,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,16.000000:25,82.2,78.8,104.9,100.0,-22.8,-21.2,0.222,1.0,33.3,0.0,0.105,0.065,33.3,0.0,0.266,0.118,0.126,93.62,97.95,81.62,33,-0.034,7.0
17,6151,6151,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800939,2019-03-02T00:00:00,MEM @ DAL,W,15.468333333333334,2,5,0.4,1,4,0.25,0,0,0.0,0,2,2,2,1,1,0,0,2,0,5,23,12.4,0,0,12.0,1,1,1,1,19651,15736,16739,14646,7527,6843,11030,14182,15041,14182,13019,13681,16329,9102,9005,4548,8286,1,11136,18923,17583,606,18045,2359,128,17675,1,15:28,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,15.000000:28,121.7,131.3,65.9,61.3,55.8,70.0,0.154,2.0,25.0,0.0,0.091,0.056,12.5,0.5,0.5,0.167,0.169,98.31,97.75,81.46,32,0.087,6.0
18,6715,6715,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800916,2019-02-27T00:00:00,MEM vs. CHI,L,18.75,2,4,0.5,1,2,0.5,0,0,0.0,0,3,3,1,0,0,0,1,0,0,5,-6,10.1,0,0,10.0,1,13078,13078,13078,17181,15736,18618,8362,7527,12673,3790,14182,15041,14182,13019,9906,12926,13432,16665,12169,8286,17177,1,18923,17583,18066,19701,2359,128,19162,1,18:45,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,18.000000:45,88.0,85.4,102.3,100.0,-14.3,-14.6,0.077,0.0,20.0,0.0,0.13,0.071,0.0,0.625,0.625,0.085,0.089,102.2,104.96,87.47,41,0.101,20.0
19,6858,6858,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800904,2019-02-25T00:00:00,MEM vs. LAL,W,18.666666666666668,2,10,0.2,1,7,0.143,0,0,0.0,0,4,4,1,1,2,0,0,2,1,5,2,16.3,0,0,15.0,1,1,1,1,17258,15736,8165,21508,7527,2023,13417,14182,15041,14182,13019,6983,9946,13432,9005,1473,8286,1,11136,12643,17583,10185,15266,2359,128,15448,1,18:40,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,18.000000:40,95.2,89.7,85.9,86.8,9.3,2.9,0.083,1.0,8.3,0.0,0.19,0.098,8.3,0.25,0.25,0.25,0.263,96.63,99.0,82.5,39,0.016,19.0
20,7323,7323,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800885,2019-02-23T00:00:00,MEM @ CLE,L,17.566666666666666,1,7,0.143,0,4,0.0,2,2,1.0,0,5,5,1,1,0,0,0,0,4,4,7,10.5,0,0,10.0,1,13078,13078,13078,18118,19280,13029,22485,13697,6843,13697,6436,8097,1,13019,4837,7497,13432,9005,12169,8286,1,1,2953,18802,6164,19418,2359,128,19162,1,17:34,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,17.000000:34,102.5,97.2,75.9,77.8,26.5,19.4,0.091,1.0,10.0,0.0,0.185,0.1,10.0,0.143,0.254,0.2,0.213,97.06,98.37,81.97,36,0.079,8.0
21,7484,7484,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800879,2019-02-22T00:00:00,MEM vs. LAC,L,19.548333333333332,1,7,0.143,1,4,0.25,0,0,0.0,0,2,2,1,1,1,0,0,2,0,3,1,8.9,0,0,9.0,1,13078,13078,13078,16538,19280,13029,22485,7527,6843,11030,14182,15041,14182,13019,13681,16329,13432,9005,4548,8286,1,11136,18923,20260,11129,20486,2359,128,19895,1,19:33,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,,,19.000000:33,96.9,95.6,89.3,95.5,7.6,0.1,0.091,1.0,11.1,0.0,0.095,0.042,11.1,0.214,0.214,0.151,0.156,112.21,109.27,91.06,45,-0.035,19.0
22,25146,25146,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800045,2018-10-22T00:00:00,MEM @ UTA,W,6.466666666666667,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,1,0,0,-5,0.2,0,0,1.0,1,1,1,1,23815,22860,22125,22860,13697,16257,13697,14182,15041,14182,13019,18138,20002,19301,9005,12169,8286,1,4829,18923,23456,17195,25189,2359,128,24783,1,6:28,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,F,,6.000000:28,75.0,75.0,100.0,107.7,-25.0,-32.7,0.0,0.0,0.0,0.0,0.143,0.067,33.3,0.0,0.0,0.231,0.231,96.49,92.78,77.32,12,-0.125,0.0
23,25706,25706,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800020,2018-10-19T00:00:00,MEM vs. ATL,W,17.283333333333335,4,6,0.667,3,4,0.75,0,0,0.0,1,1,2,2,1,0,0,0,3,0,11,13,15.4,0,0,18.0,1,1,1,1,18338,9407,14888,3022,1715,6843,1624,14182,15041,14182,6309,18138,16329,9102,9005,12169,8286,1,17131,18923,10094,3056,15919,2359,128,13225,1,17:17,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,F,,17.000000:17,126.9,137.8,101.9,102.7,24.9,35.1,0.133,2.0,22.2,0.063,0.05,0.056,11.1,0.917,0.917,0.163,0.162,107.59,102.76,85.63,37,0.111,13.0
24,25985,25985,2018-19,202718,Chandler Parsons,Chandler,1610612763,MEM,Memphis Grizzlies,21800005,2018-10-17T00:00:00,MEM @ IND,L,22.55,3,9,0.333,0,5,0.0,0,0,0.0,0,1,1,0,0,1,1,1,3,1,6,-19,13.2,0,0,11.0,1,13078,13078,13078,14038,12305,9647,17130,13697,4781,13697,14182,15041,14182,13019,18138,20002,19301,16665,4548,2599,17177,17131,12643,16101,24932,17514,2359,128,18444,1,22:33,,1610612763,MEM,Memphis,202718,Chandler Parsons,Chandler,F,,22.000000:33,73.2,76.1,119.2,117.4,-46.0,-41.3,0.0,0.0,0.0,0.0,0.063,0.02,0.0,0.333,0.333,0.173,0.177,99.15,97.92,81.6,46,-0.007,0.0
