,PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,DD2_RANK,TD3_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID.1,TEAM_CITY,PLAYER_ID.1,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,WL_Loss,WL_Win,MATCHUP_Away,MATCHUP_Home,player_name
0,1630182,1610612742,22201195,2023-04-05,4,5,0.8,2,3,0.667,0,0,0.0,1,8,9,1,3,0,1,0,2,0,10,-1,0,0,1,1,1,1,7559,9586,16006,1839,4226,10172,1971,13851,14660,13851,6448,1233,2052,13459,2046,11790,2381,1,11553,17928,11243,13132,2163,120,1,30:40,,1610612742,Dallas,1630182,,,30.000000:40,113.9,115.9,113.1,119.4,0.8,-3.5,0.043,0.33,11.1,0.03,0.182,0.117,33.3,1.0,1.0,0.113,0.116,101.33,97.83,81.52,63,0.105,0.0,1.0,0.0,1.0,Josh Green
1,1630182,1610612742,22201167,2023-04-02,6,9,0.667,1,4,0.25,0,0,0.0,2,3,5,4,0,1,0,0,1,3,13,6,0,0,1,12947,12947,12947,673,5438,9460,3571,8083,7558,11411,13851,14660,13851,3077,9404,7186,4531,16367,4306,7930,1,5181,4788,8465,6694,2163,120,1,39:56,,1610612742,Dallas,1630182,,,39.000000:56,119.0,119.3,111.7,112.0,7.3,7.2,0.133,0.0,30.8,0.054,0.064,0.06,0.0,0.722,0.722,0.097,0.099,100.07,99.78,83.15,83,0.106,1.0,0.0,1.0,0.0,Josh Green
2,1630182,1610612742,22201161,2023-04-01,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,3,2,0,-4,0,0,1,12947,12947,12947,14521,22559,21404,22559,14184,16669,14184,13851,14660,13851,13272,17626,19709,19186,8897,11790,7930,1,17563,7612,23116,16280,2163,120,1,21:53,,1610612742,Dallas,1630182,,,21.000000:53,115.6,109.1,122.1,126.8,-6.5,-17.7,0.0,0.0,0.0,0.0,0.048,0.027,33.3,0.0,0.0,0.068,0.072,92.27,93.24,77.7,44,-0.058,1.0,0.0,1.0,0.0,Josh Green
3,1630182,1610612742,22201139,2023-03-29,2,5,0.4,1,3,0.333,1,1,1.0,2,1,3,1,0,0,0,0,1,2,6,-15,0,0,1,12947,12947,12947,16155,15467,16006,15218,8083,10172,8680,10510,13074,1,3077,17626,12567,13459,16367,11790,7930,1,5181,7612,15841,23654,2163,120,1,19:43,,1610612742,Dallas,1630182,,,19.000000:43,103.8,115.8,158.6,155.3,-54.8,-39.5,0.083,0.0,16.7,0.087,0.059,0.075,0.0,0.5,0.551,0.109,0.105,96.89,92.51,77.09,38,0.053,1.0,0.0,1.0,0.0,Josh Green
4,1630182,1610612742,22201123,2023-03-27,1,1,1.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,0,3,0,2,26,0,0,1,1,1,1,15556,18953,23078,1,14184,20319,14184,13851,14660,13851,13272,6530,9590,13459,16367,11790,7930,1,17563,17928,21044,316,2163,120,1,20:32,,1610612742,Dallas,1630182,,,20.000000:32,146.6,153.7,83.1,88.1,63.5,65.6,0.045,0.0,50.0,0.0,0.143,0.093,0.0,1.0,1.0,0.022,0.023,102.25,97.01,80.84,41,0.047,0.0,1.0,1.0,0.0,Josh Green
5,1630182,1610612742,22201113,2023-03-26,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,3,0,2,-25,0,0,1,12947,12947,12947,20039,18953,21404,9075,14184,16669,14184,13851,14660,13851,13272,22091,23082,19186,16367,4306,7930,1,17563,17928,21044,25550,2163,120,1,14:00,,1610612742,Dallas,1630182,F,,14.000000:00,50.4,48.3,137.3,139.3,-86.9,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.065,0.07,96.27,97.71,81.43,29,-0.024,1.0,0.0,1.0,0.0,Josh Green
6,1630182,1610612742,22201101,2023-03-24,1,3,0.333,0,1,0.0,1,2,0.5,0,3,3,1,3,1,0,0,1,1,3,-12,0,0,1,12947,12947,12947,15091,18953,19669,17586,14184,16669,14184,10510,8080,10976,13272,9404,12567,13459,2046,4306,7930,1,5181,11862,19811,22269,2163,120,1,21:10,,1610612742,Dallas,1630182,,,21.000000:10,99.4,97.8,123.5,121.3,-24.1,-23.5,0.063,0.33,12.5,0.0,0.15,0.073,37.5,0.333,0.387,0.14,0.142,103.7,105.47,87.89,46,0.01,1.0,0.0,0.0,1.0,Josh Green
7,1630182,1610612742,22201086,2023-03-22,4,8,0.5,2,3,0.667,2,2,1.0,2,2,4,2,2,2,0,2,1,4,12,7,0,0,1,12947,12947,12947,2617,9586,10854,9075,4226,10172,1971,6620,8080,1,3077,13188,9590,9342,4399,1343,7930,23619,5181,2943,9310,5992,2163,120,1,36:25,,1610612742,Dallas,1630182,G,,36.000000:25,126.7,132.9,128.1,123.3,-1.4,9.6,0.069,1.0,15.4,0.051,0.071,0.06,15.4,0.625,0.676,0.128,0.132,96.77,96.22,80.18,73,0.068,1.0,0.0,0.0,1.0,Josh Green
8,1630182,1610612742,22201075,2023-03-20,5,8,0.625,0,1,0.0,2,2,1.0,1,2,3,1,2,0,0,1,1,2,12,-1,0,0,1,12947,12947,12947,4415,7306,10854,5245,14184,16669,14184,6620,8080,1,6448,13188,12567,13459,4399,11790,7930,17468,5181,7612,9310,13132,2163,120,1,34:13,,1610612742,Dallas,1630182,G,,34.000000:13,116.1,117.6,122.9,120.9,-6.8,-3.2,0.042,0.5,8.3,0.031,0.063,0.047,16.7,0.625,0.676,0.143,0.143,94.57,94.68,78.9,68,0.067,1.0,0.0,1.0,0.0,Josh Green
9,1630182,1610612742,22201054,2023-03-17,4,9,0.444,0,3,0.0,1,1,1.0,0,2,2,1,2,0,0,0,3,2,9,0,0,0,1,1,1,1,11754,9586,9460,13498,14184,10172,14184,10510,13074,1,13272,13188,16055,13459,4399,11790,7930,1,17563,7612,12345,11977,2163,120,1,25:29,,1610612742,Dallas,1630182,G,,25.000000:29,116.9,119.6,111.3,115.1,5.5,4.5,0.05,0.5,8.3,0.0,0.08,0.043,16.7,0.444,0.477,0.196,0.199,100.8,97.98,81.65,51,0.018,0.0,1.0,1.0,0.0,Josh Green
