,PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,DD2_RANK,TD3_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID.1,TEAM_CITY,PLAYER_ID.1,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,WL_Loss,WL_Win,MATCHUP_Away,MATCHUP_Home,player_name
0,1628467,1610612742,22201195,2023-04-05,1,3,0.333,0,2,0.0,1,1,1.0,0,2,2,3,1,0,0,0,1,1,3,-3,0,0,1,1,1,1,19720,18953,19669,17586,14184,13286,14184,10510,13074,1,13272,13188,16055,6516,8897,11790,7930,1,5181,11862,19811,15240,2163,120,1,14:32,,1610612742,Dallas,1628467,,,14.000000:32,109.4,109.7,117.7,119.4,-8.3,-9.7,0.273,3.0,42.9,0.0,0.118,0.059,14.3,0.333,0.436,0.118,0.117,103.24,102.39,85.32,31,0.053,0.0,1.0,0.0,1.0,Maxi Kleber
1,1628467,1610612742,22201167,2023-04-02,1,4,0.25,0,2,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,2,-20,0,0,1,12947,12947,12947,22942,18953,17860,20392,14184,13286,14184,13851,14660,13851,6448,22091,19709,13459,16367,11790,7930,1,1,17928,21044,24933,2163,120,1,7:30,,1610612742,Dallas,1628467,,,7.000000:30,74.1,70.6,188.2,177.8,-114.2,-107.2,0.25,0.0,20.0,0.1,0.0,0.067,0.0,0.25,0.25,0.211,0.22,106.24,112.0,93.33,17,0.011,1.0,0.0,1.0,0.0,Maxi Kleber
2,1628467,1610612742,22201161,2023-04-01,3,4,0.75,2,3,0.667,0,0,0.0,0,5,5,3,3,1,0,0,3,0,8,2,0,0,1,12947,12947,12947,10594,12366,17860,2276,4226,10172,1971,13851,14660,13851,13272,4379,7186,6516,2046,4306,7930,1,17563,17928,13462,9989,2163,120,1,26:60,,1610612742,Dallas,1628467,,,26.000000:60,118.6,115.8,113.6,114.3,5.1,1.5,0.125,1.0,30.0,0.0,0.192,0.125,30.0,1.0,1.0,0.123,0.126,99.56,100.45,83.71,57,0.088,1.0,0.0,1.0,0.0,Maxi Kleber
3,1628467,1610612742,22201139,2023-03-29,1,4,0.25,1,4,0.25,2,2,1.0,0,2,2,2,3,0,1,0,3,3,5,0,0,0,1,12947,12947,12947,11387,18953,17860,20392,8083,7558,11411,6620,8080,1,13272,13188,16055,9342,2046,11790,2381,1,17563,4788,17251,11977,2163,120,1,25:56,,1610612742,Dallas,1628467,,,25.000000:56,117.1,119.2,126.4,124.0,-9.4,-4.8,0.1,0.67,22.2,0.0,0.08,0.04,33.3,0.375,0.512,0.123,0.123,94.4,94.4,78.66,52,0.004,1.0,0.0,1.0,0.0,Maxi Kleber
4,1628467,1610612742,22201113,2023-03-26,4,9,0.444,4,7,0.571,2,2,1.0,1,3,4,1,0,1,2,0,5,1,14,2,0,0,1,12947,12947,12947,6293,9586,9460,13498,1024,2551,3487,6620,8080,1,6448,9404,9590,13459,16367,4306,751,1,24422,11862,7583,9989,2163,120,1,32:05,,1610612742,Dallas,1628467,,,32.000000:05,109.0,106.0,107.0,107.8,2.0,-1.8,0.059,0.0,9.1,0.028,0.086,0.056,0.0,0.667,0.709,0.141,0.147,96.98,97.99,81.66,67,0.082,1.0,0.0,1.0,0.0,Maxi Kleber
5,1628467,1610612742,22201101,2023-03-24,2,5,0.4,0,3,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,0,4,-16,0,0,1,12947,12947,12947,16311,15467,16006,15218,14184,10172,14184,13851,14660,13851,6448,17626,16055,19186,16367,11790,7930,1,11553,17928,18472,23968,2163,120,1,19:30,,1610612742,Dallas,1628467,F,,19.000000:30,100.1,97.5,136.1,131.0,-36.0,-33.5,0.0,0.0,0.0,0.048,0.067,0.056,0.0,0.4,0.4,0.116,0.119,97.67,100.92,84.1,40,0.005,1.0,0.0,0.0,1.0,Maxi Kleber
6,1628467,1610612742,22201086,2023-03-22,1,3,0.333,1,3,0.333,1,1,1.0,2,1,3,2,0,1,0,0,3,1,4,-12,0,0,1,12947,12947,12947,9083,18953,19669,17586,8083,10172,8680,10510,13074,1,3077,17626,12567,9342,16367,4306,7930,1,17563,11862,18472,22269,2163,120,1,28:50,,1610612742,Dallas,1628467,F,,28.000000:50,113.6,114.5,135.4,133.9,-21.9,-19.4,0.08,0.0,40.0,0.057,0.045,0.053,0.0,0.5,0.581,0.042,0.044,103.06,103.23,86.02,62,0.026,1.0,0.0,0.0,1.0,Maxi Kleber
7,1628467,1610612742,22201075,2023-03-20,0,3,0.0,0,2,0.0,2,2,1.0,2,6,8,4,2,1,1,1,1,2,2,1,0,0,1,12947,12947,12947,5450,22559,19669,22559,14184,13286,14184,6620,8080,1,3077,2868,2807,4531,4399,4306,2381,17468,5181,7612,21044,11018,2163,120,1,33:02,,1610612742,Dallas,1628467,F,,33.000000:02,112.0,110.6,117.5,114.3,-5.5,-3.7,0.148,2.0,40.0,0.065,0.188,0.127,20.0,0.0,0.258,0.082,0.084,91.86,93.72,78.1,66,0.064,1.0,0.0,1.0,0.0,Maxi Kleber
8,1628467,1610612742,22201054,2023-03-17,2,4,0.5,1,3,0.333,5,6,0.833,0,4,4,2,0,0,0,0,4,3,10,-11,0,0,1,1,1,1,9001,15467,17860,9075,8083,10172,8680,2152,2263,7354,13272,6530,9590,9342,16367,11790,7930,1,21892,4788,11243,21730,2163,120,1,28:55,,1610612742,Dallas,1628467,F,,28.000000:55,106.4,112.7,125.1,128.1,-18.7,-15.3,0.105,0.0,25.0,0.0,0.143,0.075,0.0,0.625,0.753,0.097,0.096,96.81,92.96,77.46,55,0.076,0.0,1.0,1.0,0.0,Maxi Kleber
9,1628467,1610612742,22201040,2023-03-15,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,2,3,0,0,1,2,0,3,5,0,0,1,1,1,1,10165,18953,17860,20392,8083,10172,8680,13851,14660,13851,13272,13188,16055,9342,2046,11790,7930,17468,11553,17928,19811,7441,2163,120,1,27:31,,1610612742,Dallas,1628467,F,,27.000000:31,125.8,126.3,114.3,117.5,11.5,8.8,0.091,0.67,22.2,0.0,0.065,0.034,33.3,0.375,0.375,0.104,0.107,101.04,99.43,82.86,57,-0.009,0.0,1.0,1.0,0.0,Maxi Kleber
