,PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,DD2_RANK,TD3_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID.1,TEAM_CITY,PLAYER_ID.1,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,WL_Loss,WL_Win,MATCHUP_Away,MATCHUP_Home,player_name
0,1627734,1610612758,22301200,2024-04-14,7,10,0.7,0,2,0.0,4,4,1.0,2,9,11,9,4,0,0,0,1,3,18,37,1,0,1,1,1,1,10332,3981,8327,3257,14651,13570,14651,2744,3806,1,3105,782,1073,667,804,12108,8529,1,6163,4295,4872,37,1,138,1,27:08,,1610612758,Sacramento,1627734,C,,27.000000:08,143.6,140.4,74.8,76.8,68.8,63.6,0.409,2.25,36.0,0.095,0.214,0.175,16.0,0.7,0.765,0.254,0.259,100.16,99.95,83.29,57,0.242,0.0,1.0,0.0,1.0,Domantas Sabonis
1,1627734,1610612758,22301185,2024-04-12,9,18,0.5,2,3,0.667,5,6,0.833,4,8,12,9,2,2,0,2,5,4,25,7,1,0,1,13252,13252,13252,246,1924,1970,8954,4439,10539,2080,1879,1912,7318,766,1265,736,667,4132,1349,8529,23757,25189,2625,1973,6299,1,138,1,42:23,,1610612758,Sacramento,1627734,C,,42.000000:23,113.9,115.5,105.8,107.1,8.1,8.3,0.333,4.5,28.1,0.085,0.242,0.15,6.3,0.556,0.606,0.242,0.244,96.37,95.13,79.27,84,0.165,1.0,0.0,0.0,1.0,Domantas Sabonis
2,1627734,1610612758,22301170,2024-04-11,8,12,0.667,0,0,0.0,2,4,0.5,2,8,10,4,4,2,0,0,2,4,18,-16,1,0,1,13252,13252,13252,3967,2806,6130,3541,14651,20560,14651,6103,3806,10591,3105,1265,1501,4938,804,1349,8529,1,13042,2625,4872,24160,1,138,1,34:49,,1610612758,Sacramento,1627734,C,,34.000000:49,115.3,118.1,138.3,138.4,-23.0,-20.3,0.16,1.0,19.0,0.061,0.308,0.169,19.0,0.667,0.654,0.218,0.216,101.15,99.94,83.28,72,0.111,1.0,0.0,0.0,1.0,Domantas Sabonis
3,1627734,1610612758,22301153,2024-04-09,2,7,0.286,0,0,0.0,4,7,0.571,8,5,13,5,5,1,0,2,5,4,8,-18,0,0,1,13252,13252,13252,4706,15517,12577,19775,14651,20560,14651,2744,1401,10507,36,4442,500,3413,304,4430,8529,23757,25189,2625,13454,24741,2248,138,1,33:53,,1610612758,Sacramento,1627734,C,,33.000000:53,95.5,94.4,120.2,119.4,-24.7,-25.0,0.294,1.0,25.0,0.16,0.185,0.169,25.0,0.286,0.397,0.17,0.172,101.15,102.0,85.0,72,0.039,1.0,0.0,1.0,0.0,Domantas Sabonis
4,1627734,1610612758,22301141,2024-04-07,7,14,0.5,0,1,0.0,4,5,0.8,5,15,20,9,3,1,2,2,4,6,18,19,1,0,1,1,1,1,3853,3981,4371,8954,14651,16961,14651,2744,2911,7723,362,34,26,667,1850,4430,879,23757,22902,906,4872,1366,1,138,1,34:57,,1610612758,Sacramento,1627734,C,,34.000000:57,104.8,101.4,75.2,74.6,29.6,26.8,0.474,3.0,32.1,0.116,0.341,0.23,10.7,0.5,0.556,0.235,0.241,95.6,97.5,81.25,71,0.266,0.0,1.0,1.0,0.0,Domantas Sabonis
5,1627734,1610612758,22301118,2024-04-05,6,13,0.462,0,0,0.0,4,7,0.571,5,11,16,6,2,1,1,2,1,8,16,13,1,0,1,13252,13252,13252,4773,5451,5230,12872,14651,20560,14651,2744,1401,10507,362,309,152,2326,4132,4430,2720,23757,6163,278,6105,3132,1,138,1,33:48,,1610612758,Sacramento,1627734,C,,33.000000:48,104.6,105.9,86.7,86.8,17.9,19.1,0.286,3.0,25.0,0.116,0.268,0.19,8.3,0.462,0.498,0.225,0.231,97.19,96.57,80.47,68,0.208,1.0,0.0,1.0,0.0,Domantas Sabonis
6,1627734,1610612758,22301112,2024-04-04,7,13,0.538,0,0,0.0,3,5,0.6,4,7,11,7,4,0,1,0,5,4,17,-25,1,0,1,13252,13252,13252,3351,3981,5230,8365,14651,20560,14651,4235,2911,10302,766,1913,1073,1520,804,12108,2720,1,25189,2625,5445,25921,1,138,1,35:33,,1610612758,Sacramento,1627734,C,,35.000000:33,96.2,102.9,132.9,137.1,-36.7,-34.2,0.35,1.75,26.9,0.105,0.25,0.167,15.4,0.538,0.559,0.232,0.232,98.62,93.84,78.2,69,0.114,1.0,0.0,1.0,0.0,Domantas Sabonis
7,1627734,1610612758,22301101,2024-04-02,8,17,0.471,0,3,0.0,6,10,0.6,7,13,20,9,4,2,0,1,1,8,22,-2,1,0,1,1,1,1,3940,2806,2448,12584,14651,10539,14651,1214,455,10302,67,107,26,667,804,1349,8529,17336,6163,278,2986,14544,1,138,1,34:51,,1610612758,Sacramento,1627734,C,,34.000000:51,103.7,101.4,106.7,109.1,-3.0,-7.6,0.5,2.25,25.7,0.159,0.361,0.25,11.4,0.471,0.514,0.31,0.319,92.94,92.97,77.47,69,0.25,0.0,1.0,0.0,1.0,Domantas Sabonis
8,1627734,1610612758,22301086,2024-03-31,7,14,0.5,0,1,0.0,3,3,1.0,5,6,11,6,4,1,1,1,3,3,17,18,1,0,1,1,1,1,4706,3981,4371,8954,14651,16961,14651,4235,6016,1,362,2880,1073,2326,804,4430,2720,17336,18879,4295,5445,1570,1,138,1,33:53,,1610612758,Sacramento,1627734,C,,33.000000:53,147.9,153.8,123.3,126.2,24.6,27.7,0.2,1.5,24.0,0.179,0.194,0.186,16.0,0.5,0.555,0.238,0.242,94.97,92.08,76.73,65,0.11,0.0,1.0,0.0,1.0,Domantas Sabonis
9,1627734,1610612758,22301073,2024-03-29,6,12,0.5,0,0,0.0,1,4,0.25,1,11,12,10,4,1,0,1,4,2,13,-3,1,1,1,13252,13252,13252,2693,5451,6130,8954,14651,20560,14651,10099,3806,13269,6495,309,736,425,804,4430,8529,17336,22902,6969,8427,15642,1,1,1,36:22,,1610612758,Sacramento,1627734,C,,36.000000:22,106.0,106.6,115.1,115.1,-9.0,-8.5,0.385,2.5,35.7,0.026,0.306,0.162,14.3,0.5,0.472,0.217,0.221,98.61,98.35,81.95,76,0.121,1.0,0.0,0.0,1.0,Domantas Sabonis
