,PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,DD2_RANK,TD3_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID.1,TEAM_CITY,PLAYER_ID.1,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,WL_Loss,WL_Win,MATCHUP_Away,MATCHUP_Home,player_name
0,203924,1610612757,22300938,2024-03-11,5,14,0.357,1,4,0.25,3,3,1.0,0,2,2,2,2,2,0,3,0,3,14,-14,0,0,1,13252,13252,13252,3303,7292,4371,17376,8460,7844,11776,4235,6016,1,13449,13100,15973,9909,4132,1349,8529,25688,1,4295,7525,23404,2248,138,1,35:36,,1610612757,Portland,203924,F,,35.000000:36,98.5,97.2,116.1,122.1,-17.6,-24.9,0.083,1.0,10.5,0.0,0.049,0.026,10.5,0.393,0.457,0.21,0.221,95.46,93.71,78.09,71,0.058,1.0,0.0,0.0,1.0,Jerami Grant
1,203924,1610612757,22300900,2024-03-06,6,11,0.545,2,3,0.667,6,6,1.0,0,2,2,4,6,2,1,1,3,4,20,-5,0,0,1,13252,13252,13252,581,5451,7189,8074,4439,10539,2080,1214,1912,1,13449,13100,15973,4938,104,1349,2720,17336,18879,2625,3846,17506,2248,138,1,40:19,,1610612757,Portland,203924,F,,40.000000:19,112.8,113.8,121.6,118.2,-8.9,-4.4,0.143,0.67,17.4,0.0,0.065,0.029,26.1,0.636,0.733,0.2,0.2,103.18,104.18,86.81,87,0.078,1.0,0.0,0.0,1.0,Jerami Grant
2,203924,1610612757,22300868,2024-03-02,1,5,0.2,1,4,0.25,2,2,1.0,0,0,0,1,1,1,0,0,1,1,5,3,0,0,1,1,1,1,19587,18910,15951,21471,8460,7844,11776,6103,7481,1,13449,22149,23241,14131,8468,4430,8529,1,6163,11166,17241,9396,2248,138,1,14:36,,1610612757,Portland,203924,F,,14.000000:36,99.8,106.5,91.6,100.0,8.2,6.5,0.091,1.0,12.5,0.0,0.0,0.0,12.5,0.3,0.425,0.194,0.194,108.23,100.27,83.56,31,0.02,0.0,1.0,1.0,0.0,Jerami Grant
3,203924,1610612757,22300861,2024-03-01,4,10,0.4,2,5,0.4,0,0,0.0,0,2,2,5,1,0,0,0,1,2,10,27,0,0,1,1,1,1,5162,9679,8327,15260,4439,5663,7875,13417,14233,13417,13449,13100,15973,3413,8468,12108,8529,1,6163,6969,11320,350,2248,138,1,33:19,,1610612757,Portland,203924,F,,33.000000:19,132.5,135.4,88.9,92.4,43.7,43.0,0.156,5.0,31.3,0.0,0.057,0.029,6.3,0.5,0.5,0.141,0.142,97.28,94.37,78.64,65,0.066,0.0,1.0,1.0,0.0,Jerami Grant
4,203924,1610612757,22300842,2024-02-27,7,15,0.467,3,5,0.6,7,8,0.875,1,6,7,6,3,3,0,2,4,6,24,-15,0,0,1,13252,13252,13252,559,3981,3661,12709,2226,5663,3197,790,948,6953,6495,2880,3886,2326,1850,384,8529,23757,22902,906,2264,23787,2248,138,1,40:24,,1610612757,Portland,203924,F,,40.000000:24,94.0,97.4,113.6,116.7,-19.6,-19.2,0.273,2.0,21.4,0.023,0.2,0.096,10.7,0.567,0.648,0.237,0.24,95.62,92.67,77.23,78,0.167,1.0,0.0,0.0,1.0,Jerami Grant
5,203924,1610612757,22300826,2024-02-25,6,18,0.333,1,6,0.167,2,2,1.0,0,2,2,5,5,2,0,0,0,1,15,-13,0,0,1,13252,13252,13252,6376,5451,1970,17629,8460,3921,13950,6103,7481,1,13449,13100,15973,3413,304,1349,8529,1,1,11166,6762,22947,2248,138,1,31:53,,1610612757,Portland,203924,F,,31.000000:53,81.9,80.0,102.9,103.2,-21.0,-23.2,0.294,1.0,17.2,0.0,0.069,0.029,17.2,0.361,0.397,0.296,0.31,95.36,96.35,80.29,65,0.071,1.0,0.0,0.0,1.0,Jerami Grant
6,203924,1610612757,22300812,2024-02-23,9,21,0.429,3,6,0.5,4,7,0.571,1,1,2,4,3,3,0,3,2,6,25,-17,0,0,1,13252,13252,13252,2141,1924,930,14111,2226,3921,4049,2744,1401,10507,6495,17515,15973,4938,1850,384,8529,25688,13042,906,1973,24448,2248,138,1,37:08,,1610612757,Portland,203924,F,,37.000000:08,109.0,113.5,131.5,136.5,-22.5,-23.0,0.167,1.33,12.9,0.024,0.032,0.028,9.7,0.5,0.519,0.31,0.31,99.43,95.66,79.71,74,0.075,1.0,0.0,0.0,1.0,Jerami Grant
7,203924,1610612757,22300791,2024-02-15,6,14,0.429,2,4,0.5,6,6,1.0,1,1,2,0,0,0,1,1,2,5,20,-19,0,0,1,13252,13252,13252,5233,5451,4371,14111,4439,7844,4049,1214,1912,1,6495,17515,15973,19657,16035,12108,2720,17336,13042,1530,3846,24997,2248,138,1,33:14,,1610612757,Portland,203924,F,,33.000000:14,102.1,102.8,127.8,129.6,-25.7,-26.8,0.0,0.0,0.0,0.027,0.032,0.029,0.0,0.5,0.601,0.218,0.222,103.62,102.55,85.46,71,0.083,1.0,0.0,0.0,1.0,Jerami Grant
8,203924,1610612757,22300775,2024-02-13,5,17,0.294,2,7,0.286,0,0,0.0,1,0,1,4,3,1,0,3,3,0,12,-17,0,0,1,13252,13252,13252,4057,7292,2448,19732,4439,2715,11375,13417,14233,13417,6495,22149,19646,4938,1850,4430,8529,25688,18879,17532,9297,24448,2248,138,1,34:42,,1610612757,Portland,203924,F,,34.000000:42,98.5,100.0,126.5,123.6,-28.0,-23.6,0.167,1.33,16.7,0.03,0.0,0.015,12.5,0.353,0.353,0.256,0.259,99.21,99.6,83.0,72,-0.003,1.0,0.0,0.0,1.0,Jerami Grant
9,203924,1610612757,22300758,2024-02-10,7,17,0.412,2,5,0.4,8,12,0.667,2,3,5,4,4,0,0,1,2,8,24,-7,0,0,1,13252,13252,13252,371,3981,2448,15119,4439,5663,7875,512,205,9424,3105,9403,7149,4938,804,12108,8529,17336,13042,278,2264,19219,2248,138,1,41:18,,1610612757,Portland,203924,F,,41.000000:18,99.4,105.4,111.8,113.3,-12.4,-7.9,0.174,1.0,13.3,0.054,0.081,0.068,13.3,0.471,0.539,0.302,0.301,89.79,86.59,72.15,74,0.08,1.0,0.0,0.0,1.0,Jerami Grant
10,203924,1610612757,22300741,2024-02-08,14,29,0.483,3,6,0.5,18,20,0.9,2,6,8,6,4,0,0,2,5,13,49,-5,0,0,1,13252,13252,13252,70,162,55,12404,2226,3921,4049,4,9,6798,3105,2880,2854,2326,804,12108,8529,23757,25189,8,21,17506,2248,138,1,45:00,,1610612757,Portland,203924,F,,45.000000:00,109.6,111.1,115.4,116.7,-5.7,-5.6,0.3,1.5,12.5,0.048,0.13,0.091,8.3,0.534,0.648,0.412,0.419,97.17,96.0,80.0,90,0.224,1.0,0.0,0.0,1.0,Jerami Grant
11,203924,1610612757,22300683,2024-01-31,7,14,0.5,0,1,0.0,4,4,1.0,0,3,3,4,0,2,0,2,3,4,18,2,0,0,1,1,1,1,1668,3981,4371,8954,14651,16961,14651,2744,3806,1,13449,9403,12548,4938,16035,1349,8529,23757,18879,2625,4872,10350,2248,138,1,37:52,,1610612757,Portland,203924,F,,37.000000:52,121.8,121.1,113.7,121.6,8.1,-0.6,0.129,0.0,20.0,0.0,0.075,0.041,0.0,0.5,0.571,0.19,0.196,98.04,95.07,79.23,76,0.099,0.0,1.0,0.0,1.0,Jerami Grant
12,203924,1610612757,22300668,2024-01-29,7,13,0.538,1,2,0.5,12,13,0.923,3,2,5,3,3,0,1,0,4,8,27,29,0,0,1,1,1,1,7161,3981,5230,8365,8460,13570,4049,84,134,6709,1506,13100,7149,7003,1850,12108,2720,1,22902,278,1465,246,2248,138,1,30:56,,1610612757,Portland,203924,F,,30.000000:56,144.8,153.4,104.0,103.4,40.8,50.0,0.111,1.0,12.0,0.13,0.061,0.089,12.0,0.577,0.721,0.319,0.317,92.48,90.0,75.0,58,0.159,0.0,1.0,0.0,1.0,Jerami Grant
13,203924,1610612757,22300656,2024-01-28,5,12,0.417,1,6,0.167,13,16,0.813,0,7,7,2,2,0,1,0,2,9,24,-2,0,0,1,13252,13252,13252,2482,7292,6130,14849,8460,3921,13950,61,45,7719,13449,1913,3886,9909,4132,12108,2720,1,13042,134,2264,14544,2248,138,1,36:39,,1610612757,Portland,203924,F,,36.000000:39,99.0,104.1,104.4,106.8,-5.4,-2.7,0.111,1.0,8.7,0.0,0.179,0.09,8.7,0.458,0.63,0.25,0.254,99.2,95.61,79.67,73,0.146,1.0,0.0,0.0,1.0,Jerami Grant
14,203924,1610612757,22300641,2024-01-26,2,6,0.333,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,2,1,0,4,7,0,0,1,13252,13252,13252,21863,15517,14269,17629,14651,16961,14651,13417,14233,13417,13449,17515,19646,9909,8468,12108,8529,23757,6163,17532,18488,6299,2248,138,1,10:21,,1610612757,Portland,203924,F,,10.000000:21,136.9,134.8,103.4,104.3,33.5,30.4,0.25,2.0,22.2,0.0,0.067,0.048,11.1,0.333,0.333,0.304,0.309,106.3,106.67,88.89,23,0.017,1.0,0.0,1.0,0.0,Jerami Grant
15,203924,1610612757,22300623,2024-01-24,5,12,0.417,2,5,0.4,9,11,0.818,0,5,5,9,1,0,2,0,0,5,21,15,0,0,1,1,1,1,211,7292,6130,14849,4439,5663,7875,336,329,7693,13449,4442,7149,667,8468,12108,879,1,1,1530,3398,2411,2248,138,1,42:44,,1610612757,Portland,203924,F,,42.000000:44,137.0,138.1,122.5,120.2,14.5,17.9,0.25,9.0,33.3,0.0,0.128,0.065,3.7,0.5,0.624,0.184,0.186,93.88,94.35,78.63,84,0.12,0.0,1.0,1.0,0.0,Jerami Grant
16,203924,1610612757,22300617,2024-01-23,6,10,0.6,4,5,0.8,2,4,0.5,0,5,5,1,1,1,1,1,0,2,18,-8,0,0,1,13252,13252,13252,8121,5451,8327,5678,1043,5663,1554,6103,3806,10591,13449,4442,7149,14131,8468,4430,2720,17336,1,6969,4872,19981,2248,138,1,29:48,,1610612757,Portland,203924,F,,29.000000:48,97.6,98.4,104.0,107.9,-6.4,-9.6,0.077,1.0,7.1,0.0,0.147,0.079,7.1,0.8,0.765,0.188,0.193,102.15,99.87,83.22,61,0.18,1.0,0.0,1.0,0.0,Jerami Grant
17,203924,1610612757,22300605,2024-01-21,6,15,0.4,0,3,0.0,5,5,1.0,1,2,3,3,1,1,1,0,3,2,17,-14,0,0,1,13252,13252,13252,5821,5451,3661,15260,14651,10539,14651,1879,2911,1,6495,13100,12548,7003,8468,4430,2720,1,18879,6969,5445,23404,2248,138,1,32:33,,1610612757,Portland,203924,F,,32.000000:33,111.1,111.8,128.4,128.6,-17.2,-16.8,0.125,3.0,14.3,0.03,0.067,0.048,4.8,0.4,0.494,0.247,0.245,102.13,101.75,84.79,68,0.069,1.0,0.0,1.0,0.0,Jerami Grant
18,203924,1610612757,22300590,2024-01-19,14,28,0.5,1,4,0.25,8,11,0.727,1,3,4,3,1,1,2,3,2,9,37,2,0,0,1,1,1,1,222,162,85,8954,8460,7844,11776,512,329,9211,6495,9403,9569,7003,8468,4430,879,25688,13042,134,229,10350,2248,138,1,42:37,,1610612757,Portland,203924,F,,42.000000:37,114.9,117.0,104.9,112.2,10.0,4.8,0.13,3.0,8.1,0.024,0.059,0.043,2.7,0.518,0.563,0.343,0.348,104.68,100.24,83.54,88,0.144,0.0,1.0,0.0,1.0,Jerami Grant
19,203924,1610612757,22300578,2024-01-17,14,26,0.538,2,4,0.5,0,0,0.0,4,4,8,1,2,0,0,2,1,1,30,12,0,0,1,1,1,1,3318,162,174,8365,4439,7844,4049,13417,14233,13417,766,6490,2854,14131,4132,12108,8529,23757,6163,11166,916,3565,2248,138,1,35:35,,1610612757,Portland,203924,F,,35.000000:35,114.5,123.1,104.2,104.6,10.3,18.5,0.056,0.5,3.4,0.114,0.118,0.116,6.9,0.577,0.577,0.35,0.355,91.11,87.68,73.07,65,0.171,0.0,1.0,0.0,1.0,Jerami Grant
20,203924,1610612757,22300538,2024-01-12,4,15,0.267,2,7,0.286,3,3,1.0,0,0,0,1,0,2,0,1,3,1,13,-36,0,0,1,13252,13252,13252,7527,9679,3661,20314,4439,2715,11375,4235,6016,1,13449,22149,23241,14131,16035,1349,8529,17336,18879,11166,8427,26358,2248,138,1,30:32,,1610612757,Portland,203924,F,,30.000000:32,75.8,78.3,134.2,136.1,-58.5,-57.7,0.083,0.0,5.9,0.0,0.0,0.0,0.0,0.333,0.398,0.229,0.232,97.37,95.11,79.26,60,0.017,1.0,0.0,1.0,0.0,Jerami Grant
21,203924,1610612757,22300529,2024-01-11,4,10,0.4,1,3,0.333,0,0,0.0,0,2,2,2,0,1,1,2,2,0,9,-40,0,0,1,13252,13252,13252,12225,9679,8327,15260,8460,10539,9124,13417,14233,13417,13449,13100,15973,9909,16035,4430,2720,23757,13042,17532,12379,26383,2248,138,1,24:45,,1610612757,Portland,203924,F,,24.000000:45,75.5,78.2,144.4,153.7,-68.9,-75.5,0.182,0.0,16.7,0.0,0.095,0.033,0.0,0.45,0.45,0.154,0.156,110.97,105.7,88.08,55,0.054,1.0,0.0,1.0,0.0,Jerami Grant
