,PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,DD2_RANK,TD3_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID.1,TEAM_CITY,PLAYER_ID.1,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,WL_Loss,WL_Win,MATCHUP_Away,MATCHUP_Home,player_name
0,1629029,1610612742,22301161,2024-04-10,9,23,0.391,4,15,0.267,7,8,0.875,1,8,9,9,3,0,0,0,4,5,29,7,0,0,1,1,1,1,2975,1924,508,16279,1043,41,11774,790,948,6953,6495,1265,2119,667,1850,12108,8529,1,22902,1530,1107,6299,2248,138,1,35:59,,1610612742,Dallas,1629029,G,,35.000000:59,115.4,114.9,103.2,101.4,12.2,13.5,0.474,3.0,23.1,0.026,0.222,0.12,7.7,0.478,0.547,0.4,0.401,89.75,90.71,75.59,67,0.176,0.0,1.0,1.0,0.0,Luka Doncic
1,1629029,1610612742,22301144,2024-04-09,13,25,0.52,8,17,0.471,5,7,0.714,2,10,12,10,4,0,1,0,2,5,39,22,1,1,1,1,1,1,4016,291,260,8913,29,12,7175,1879,1401,9242,3105,489,736,425,804,12108,2720,1,13042,1530,163,873,1,1,1,34:45,,1610612742,Dallas,1629029,G,,34.000000:45,128.1,128.4,94.2,96.1,33.9,32.3,0.435,2.5,23.8,0.051,0.25,0.152,9.5,0.68,0.694,0.364,0.367,104.73,103.6,86.33,74,0.244,0.0,1.0,1.0,0.0,Luka Doncic
2,1629029,1610612742,22301131,2024-04-07,12,21,0.571,4,10,0.4,9,9,1.0,2,7,9,12,7,0,2,1,5,9,37,20,1,0,1,1,1,1,58,497,930,6891,1043,684,7875,336,687,1,3105,1913,2119,156,33,12108,879,17336,25189,134,229,1185,1,138,1,45:25,,1610612742,Dallas,1629029,G,,45.000000:25,135.6,140.2,119.7,119.6,15.9,20.6,0.375,1.71,27.3,0.059,0.159,0.115,15.9,0.667,0.741,0.308,0.307,104.18,102.51,85.42,97,0.163,0.0,1.0,0.0,1.0,Luka Doncic
3,1629029,1610612742,22301124,2024-04-04,8,25,0.32,6,15,0.4,3,3,1.0,0,12,12,8,5,2,1,1,3,6,25,21,1,0,1,1,1,1,2199,2806,260,19334,198,41,7875,4235,6016,1,13449,185,736,1009,304,1349,2720,17336,18879,906,1973,1031,1,138,1,37:03,,1610612742,Dallas,1629029,G,,37.000000:03,105.8,107.5,82.1,80.2,23.7,27.3,0.364,1.6,20.5,0.0,0.273,0.138,12.8,0.44,0.475,0.356,0.355,103.94,104.31,86.92,80,0.181,0.0,1.0,0.0,1.0,Luka Doncic
4,1629029,1610612742,22300589,2024-04-02,11,22,0.5,5,11,0.455,3,4,0.75,1,11,12,11,5,0,0,1,1,4,30,9,1,1,1,13252,13252,13252,971,789,691,8954,458,427,7202,4235,3806,8216,6495,309,736,263,304,12108,8529,17336,6163,2625,916,5021,1,1,1,39:12,,1610612742,Dallas,1629029,G,,39.000000:12,109.8,111.1,102.4,98.8,7.4,12.3,0.458,2.2,27.5,0.026,0.268,0.152,12.5,0.614,0.631,0.337,0.333,98.61,99.81,83.18,81,0.202,1.0,0.0,1.0,0.0,Luka Doncic
5,1629029,1610612742,22301083,2024-03-31,18,30,0.6,9,16,0.563,2,5,0.4,0,12,12,7,4,2,0,0,1,6,47,12,1,0,1,1,1,1,3638,20,38,5678,10,22,3880,6103,2911,12977,13449,185,736,1520,804,1349,8529,1,6163,906,28,3565,1,138,1,35:12,,1610612742,Dallas,1629029,G,,35.000000:12,122.1,123.0,107.6,109.7,14.5,13.3,0.412,1.75,16.3,0.0,0.333,0.169,9.3,0.75,0.73,0.429,0.447,100.85,99.55,82.95,74,0.298,0.0,1.0,1.0,0.0,Luka Doncic
6,1629029,1610612742,22301073,2024-03-29,6,14,0.429,4,8,0.5,10,14,0.714,0,9,9,12,5,2,0,1,2,9,26,6,1,0,1,1,1,1,454,5451,4371,14111,1043,1806,4049,213,92,9242,13449,782,2119,156,304,1349,8529,17336,13042,134,1681,6978,1,138,1,40:52,,1610612742,Dallas,1629029,G,,40.000000:52,120.4,118.5,109.2,108.4,11.1,10.1,0.462,2.4,31.6,0.0,0.205,0.11,13.2,0.571,0.645,0.299,0.307,95.23,96.31,80.26,81,0.172,0.0,1.0,1.0,0.0,Luka Doncic
7,1629029,1610612742,22301047,2024-03-26,10,18,0.556,4,8,0.5,4,5,0.8,1,10,11,6,4,2,0,1,4,5,28,18,1,0,1,1,1,1,6553,1283,1970,7603,1043,1806,4049,2744,2911,7723,6495,489,1073,2326,804,1349,8529,17336,22902,1530,1259,1570,1,138,1,31:41,,1610612742,Dallas,1629029,G,,31.000000:41,121.0,121.7,95.4,95.7,25.6,26.1,0.273,1.5,20.0,0.033,0.303,0.175,13.3,0.667,0.693,0.329,0.331,104.99,104.56,87.13,69,0.197,0.0,1.0,1.0,0.0,Luka Doncic
8,1629029,1610612742,22301041,2024-03-25,10,24,0.417,2,11,0.182,7,8,0.875,2,10,12,13,4,1,1,0,3,7,29,10,1,1,1,1,1,1,396,1283,365,14849,4439,427,13932,790,948,6953,3105,489,736,90,804,4430,2720,1,18879,505,1107,4460,1,1,1,41:10,,1610612742,Dallas,1629029,G,,41.000000:10,123.3,121.0,101.8,104.8,21.5,16.2,0.481,3.25,28.9,0.051,0.213,0.14,8.9,0.458,0.527,0.356,0.362,96.74,96.18,80.15,81,0.168,0.0,1.0,1.0,0.0,Luka Doncic
9,1629029,1610612742,22301008,2024-03-21,11,23,0.478,4,10,0.4,8,12,0.667,1,8,9,8,4,4,0,0,2,10,34,-3,0,0,1,1,1,1,4087,789,508,12429,1043,684,7875,512,205,9424,6495,1265,2119,1009,804,95,8529,1,13042,71,423,15642,2248,138,1,34:40,,1610612742,Dallas,1629029,G,,34.000000:40,100.3,100.0,100.5,103.9,-0.2,-3.9,0.444,2.0,20.0,0.029,0.308,0.15,10.0,0.565,0.601,0.376,0.386,108.28,106.62,88.85,77,0.223,0.0,1.0,0.0,1.0,Luka Doncic
